realtime_start,realtime_end,date,value
2019/12/6,2019/12/6,1999/10/1,5241
2019/12/6,2019/12/6,2000/1/1,5553
2019/12/6,2019/12/6,2000/4/1,6059
2019/12/6,2019/12/6,2000/7/1,6892
2019/12/6,2019/12/6,2000/10/1,9104
2019/12/6,2019/12/6,2001/1/1,7923
2019/12/6,2019/12/6,2001/4/1,7816
2019/12/6,2019/12/6,2001/7/1,7737
2019/12/6,2019/12/6,2001/10/1,10784
2019/12/6,2019/12/6,2002/1/1,9621
2019/12/6,2019/12/6,2002/4/1,10076
2019/12/6,2019/12/6,2002/7/1,10760
2019/12/6,2019/12/6,2002/10/1,14166
2019/12/6,2019/12/6,2003/1/1,12358
2019/12/6,2019/12/6,2003/4/1,12973
2019/12/6,2019/12/6,2003/7/1,13909
2019/12/6,2019/12/6,2003/10/1,17915
2019/12/6,2019/12/6,2004/1/1,16201
2019/12/6,2019/12/6,2004/4/1,16502
2019/12/6,2019/12/6,2004/7/1,17371
2019/12/6,2019/12/6,2004/10/1,22523
2019/12/6,2019/12/6,2005/1/1,20142
2019/12/6,2019/12/6,2005/4/1,20953
2019/12/6,2019/12/6,2005/7/1,22171
2019/12/6,2019/12/6,2005/10/1,28121
2019/12/6,2019/12/6,2006/1/1,25490
2019/12/6,2019/12/6,2006/4/1,25817
2019/12/6,2019/12/6,2006/7/1,26892
2019/12/6,2019/12/6,2006/10/1,35135
2019/12/6,2019/12/6,2007/1/1,30403
2019/12/6,2019/12/6,2007/4/1,31589
2019/12/6,2019/12/6,2007/7/1,32352
2019/12/6,2019/12/6,2007/10/1,42126
2019/12/6,2019/12/6,2008/1/1,34270
2019/12/6,2019/12/6,2008/4/1,34260
2019/12/6,2019/12/6,2008/7/1,33486
2019/12/6,2019/12/6,2008/10/1,39576
2019/12/6,2019/12/6,2009/1/1,32284
2019/12/6,2019/12/6,2009/4/1,32924
2019/12/6,2019/12/6,2009/7/1,34494
2019/12/6,2019/12/6,2009/10/1,45805
2019/12/6,2019/12/6,2010/1/1,37059
2019/12/6,2019/12/6,2010/4/1,38467
2019/12/6,2019/12/6,2010/7/1,40075
2019/12/6,2019/12/6,2010/10/1,54320
2019/12/6,2019/12/6,2011/1/1,44243
2019/12/6,2019/12/6,2011/4/1,45426
2019/12/6,2019/12/6,2011/7/1,46159
2019/12/6,2019/12/6,2011/10/1,64435
2019/12/6,2019/12/6,2012/1/1,51722
2019/12/6,2019/12/6,2012/4/1,52542
2019/12/6,2019/12/6,2012/7/1,53832
2019/12/6,2019/12/6,2012/10/1,73827
2019/12/6,2019/12/6,2013/1/1,58355
2019/12/6,2019/12/6,2013/4/1,60181
2019/12/6,2019/12/6,2013/7/1,61344
2019/12/6,2019/12/6,2013/10/1,83766
2019/12/6,2019/12/6,2014/1/1,66148
2019/12/6,2019/12/6,2014/4/1,69715
2019/12/6,2019/12/6,2014/7/1,71331
2019/12/6,2019/12/6,2014/10/1,95830
2019/12/6,2019/12/6,2015/1/1,75918
2019/12/6,2019/12/6,2015/4/1,79916
2019/12/6,2019/12/6,2015/7/1,81769
2019/12/6,2019/12/6,2015/10/1,109362
2019/12/6,2019/12/6,2016/1/1,86811
2019/12/6,2019/12/6,2016/4/1,91969
2019/12/6,2019/12/6,2016/7/1,93830
2019/12/6,2019/12/6,2016/10/1,124697
2019/12/6,2019/12/6,2017/1/1,99805
2019/12/6,2019/12/6,2017/4/1,107094
2019/12/6,2019/12/6,2017/7/1,108905
2019/12/6,2019/12/6,2017/10/1,145230
2019/12/6,2019/12/6,2018/1/1,115602
2019/12/6,2019/12/6,2018/4/1,122934
2019/12/6,2019/12/6,2018/7/1,124214
2019/12/6,2019/12/6,2018/10/1,160894
2019/12/6,2019/12/6,2019/1/1,129015
2019/12/6,2019/12/6,2019/4/1,139647
2019/12/6,2019/12/6,2019/7/1,145740
