realtime_start,realtime_end,date,value
2019/12/6,2019/12/6,1999/10/1,0.7
2019/12/6,2019/12/6,2000/1/1,0.8
2019/12/6,2019/12/6,2000/4/1,0.8
2019/12/6,2019/12/6,2000/7/1,0.9
2019/12/6,2019/12/6,2000/10/1,1.2
2019/12/6,2019/12/6,2001/1/1,1.1
2019/12/6,2019/12/6,2001/4/1,1
2019/12/6,2019/12/6,2001/7/1,1
2019/12/6,2019/12/6,2001/10/1,1.3
2019/12/6,2019/12/6,2002/1/1,1.3
2019/12/6,2019/12/6,2002/4/1,1.3
2019/12/6,2019/12/6,2002/7/1,1.4
2019/12/6,2019/12/6,2002/10/1,1.7
2019/12/6,2019/12/6,2003/1/1,1.7
2019/12/6,2019/12/6,2003/4/1,1.6
2019/12/6,2019/12/6,2003/7/1,1.7
2019/12/6,2019/12/6,2003/10/1,2.1
2019/12/6,2019/12/6,2004/1/1,2
2019/12/6,2019/12/6,2004/4/1,1.9
2019/12/6,2019/12/6,2004/7/1,2
2019/12/6,2019/12/6,2004/10/1,2.4
2019/12/6,2019/12/6,2005/1/1,2.4
2019/12/6,2019/12/6,2005/4/1,2.3
2019/12/6,2019/12/6,2005/7/1,2.4
2019/12/6,2019/12/6,2005/10/1,2.9
2019/12/6,2019/12/6,2006/1/1,2.8
2019/12/6,2019/12/6,2006/4/1,2.6
2019/12/6,2019/12/6,2006/7/1,2.8
2019/12/6,2019/12/6,2006/10/1,3.5
2019/12/6,2019/12/6,2007/1/1,3.3
2019/12/6,2019/12/6,2007/4/1,3.1
2019/12/6,2019/12/6,2007/7/1,3.2
2019/12/6,2019/12/6,2007/10/1,4
2019/12/6,2019/12/6,2008/1/1,3.6
2019/12/6,2019/12/6,2008/4/1,3.3
2019/12/6,2019/12/6,2008/7/1,3.3
2019/12/6,2019/12/6,2008/10/1,4.1
2019/12/6,2019/12/6,2009/1/1,3.9
2019/12/6,2019/12/6,2009/4/1,3.6
2019/12/6,2019/12/6,2009/7/1,3.8
2019/12/6,2019/12/6,2009/10/1,4.7
2019/12/6,2019/12/6,2010/1/1,4.2
2019/12/6,2019/12/6,2010/4/1,4
2019/12/6,2019/12/6,2010/7/1,4.2
2019/12/6,2019/12/6,2010/10/1,5.3
2019/12/6,2019/12/6,2011/1/1,4.7
2019/12/6,2019/12/6,2011/4/1,4.4
2019/12/6,2019/12/6,2011/7/1,4.5
2019/12/6,2019/12/6,2011/10/1,5.9
2019/12/6,2019/12/6,2012/1/1,5.1
2019/12/6,2019/12/6,2012/4/1,4.9
2019/12/6,2019/12/6,2012/7/1,5
2019/12/6,2019/12/6,2012/10/1,6.5
2019/12/6,2019/12/6,2013/1/1,5.6
2019/12/6,2019/12/6,2013/4/1,5.4
2019/12/6,2019/12/6,2013/7/1,5.5
2019/12/6,2019/12/6,2013/10/1,7.1
2019/12/6,2019/12/6,2014/1/1,6.2
2019/12/6,2019/12/6,2014/4/1,5.9
2019/12/6,2019/12/6,2014/7/1,6.1
2019/12/6,2019/12/6,2014/10/1,7.8
2019/12/6,2019/12/6,2015/1/1,7
2019/12/6,2019/12/6,2015/4/1,6.7
2019/12/6,2019/12/6,2015/7/1,6.9
2019/12/6,2019/12/6,2015/10/1,8.7
2019/12/6,2019/12/6,2016/1/1,7.7
2019/12/6,2019/12/6,2016/4/1,7.5
2019/12/6,2019/12/6,2016/7/1,7.7
2019/12/6,2019/12/6,2016/10/1,9.6
2019/12/6,2019/12/6,2017/1/1,8.6
2019/12/6,2019/12/6,2017/4/1,8.5
2019/12/6,2019/12/6,2017/7/1,8.6
2019/12/6,2019/12/6,2017/10/1,10.7
2019/12/6,2019/12/6,2018/1/1,9.5
2019/12/6,2019/12/6,2018/4/1,9.2
2019/12/6,2019/12/6,2018/7/1,9.4
2019/12/6,2019/12/6,2018/10/1,11.4
2019/12/6,2019/12/6,2019/1/1,10.4
2019/12/6,2019/12/6,2019/4/1,10.1
2019/12/6,2019/12/6,2019/7/1,10.5
