realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1999-10-01,0.6
2019-12-06,2019-12-06,2000-01-01,0.8
2019-12-06,2019-12-06,2000-04-01,0.9
2019-12-06,2019-12-06,2000-07-01,1.0
2019-12-06,2019-12-06,2000-10-01,1.0
2019-12-06,2019-12-06,2001-01-01,1.1
2019-12-06,2019-12-06,2001-04-01,1.1
2019-12-06,2019-12-06,2001-07-01,1.1
2019-12-06,2019-12-06,2001-10-01,1.2
2019-12-06,2019-12-06,2002-01-01,1.3
2019-12-06,2019-12-06,2002-04-01,1.4
2019-12-06,2019-12-06,2002-07-01,1.5
2019-12-06,2019-12-06,2002-10-01,1.5
2019-12-06,2019-12-06,2003-01-01,1.6
2019-12-06,2019-12-06,2003-04-01,1.7
2019-12-06,2019-12-06,2003-07-01,1.8
2019-12-06,2019-12-06,2003-10-01,1.9
2019-12-06,2019-12-06,2004-01-01,2.0
2019-12-06,2019-12-06,2004-04-01,2.0
2019-12-06,2019-12-06,2004-07-01,2.1
2019-12-06,2019-12-06,2004-10-01,2.2
2019-12-06,2019-12-06,2005-01-01,2.3
2019-12-06,2019-12-06,2005-04-01,2.4
2019-12-06,2019-12-06,2005-07-01,2.5
2019-12-06,2019-12-06,2005-10-01,2.6
2019-12-06,2019-12-06,2006-01-01,2.7
2019-12-06,2019-12-06,2006-04-01,2.8
2019-12-06,2019-12-06,2006-07-01,3.0
2019-12-06,2019-12-06,2006-10-01,3.1
2019-12-06,2019-12-06,2007-01-01,3.2
2019-12-06,2019-12-06,2007-04-01,3.4
2019-12-06,2019-12-06,2007-07-01,3.5
2019-12-06,2019-12-06,2007-10-01,3.5
2019-12-06,2019-12-06,2008-01-01,3.6
2019-12-06,2019-12-06,2008-04-01,3.6
2019-12-06,2019-12-06,2008-07-01,3.6
2019-12-06,2019-12-06,2008-10-01,3.6
2019-12-06,2019-12-06,2009-01-01,3.8
2019-12-06,2019-12-06,2009-04-01,4.0
2019-12-06,2019-12-06,2009-07-01,4.1
2019-12-06,2019-12-06,2009-10-01,4.1
2019-12-06,2019-12-06,2010-01-01,4.2
2019-12-06,2019-12-06,2010-04-01,4.4
2019-12-06,2019-12-06,2010-07-01,4.6
2019-12-06,2019-12-06,2010-10-01,4.6
2019-12-06,2019-12-06,2011-01-01,4.7
2019-12-06,2019-12-06,2011-04-01,4.8
2019-12-06,2019-12-06,2011-07-01,4.9
2019-12-06,2019-12-06,2011-10-01,5.1
2019-12-06,2019-12-06,2012-01-01,5.2
2019-12-06,2019-12-06,2012-04-01,5.3
2019-12-06,2019-12-06,2012-07-01,5.4
2019-12-06,2019-12-06,2012-10-01,5.6
2019-12-06,2019-12-06,2013-01-01,5.6
2019-12-06,2019-12-06,2013-04-01,5.8
2019-12-06,2019-12-06,2013-07-01,6.0
2019-12-06,2019-12-06,2013-10-01,6.1
2019-12-06,2019-12-06,2014-01-01,6.3
2019-12-06,2019-12-06,2014-04-01,6.4
2019-12-06,2019-12-06,2014-07-01,6.6
2019-12-06,2019-12-06,2014-10-01,6.8
2019-12-06,2019-12-06,2015-01-01,7.1
2019-12-06,2019-12-06,2015-04-01,7.2
2019-12-06,2019-12-06,2015-07-01,7.4
2019-12-06,2019-12-06,2015-10-01,7.6
2019-12-06,2019-12-06,2016-01-01,7.9
2019-12-06,2019-12-06,2016-04-01,8.1
2019-12-06,2019-12-06,2016-07-01,8.3
2019-12-06,2019-12-06,2016-10-01,8.5
2019-12-06,2019-12-06,2017-01-01,8.7
2019-12-06,2019-12-06,2017-04-01,9.0
2019-12-06,2019-12-06,2017-07-01,9.2
2019-12-06,2019-12-06,2017-10-01,9.4
2019-12-06,2019-12-06,2018-01-01,9.6
2019-12-06,2019-12-06,2018-04-01,9.8
2019-12-06,2019-12-06,2018-07-01,10.0
2019-12-06,2019-12-06,2018-10-01,10.1
2019-12-06,2019-12-06,2019-01-01,10.5
2019-12-06,2019-12-06,2019-04-01,10.8
2019-12-06,2019-12-06,2019-07-01,11.2
